date,CLOSE,OPEN,HIGH,LOW,VOLUME
2021-04-07,565.73999,555.22998,569.73993,548.46002,6275134
2021-04-08,572.67999,570.10999,578.85999,569.9577,6099532
2021-04-09,576.0,568.56,576.32001,567.0,4864307
2021-04-12,608.35999,571.59003,614.09998,565.57001,21700424
2021-04-13,627.17999,609.26001,628.0,605.03003,16860885
2021-04-14,611.08002,625.0,628.81842,609.09998,9612765
2021-04-15,645.48999,626.5,648.56598,625.26001,14915097
2021-04-16,636.5,642.12402,646.63,634.60999,8353230
2021-04-19,614.46997,621.46161,632.29999,609.32013,10096963
2021-04-20,606.84998,612.92999,619.88,598.52002,8337609
2021-04-21,614.41998,604.75,614.5,604.09003,5398705
2021-04-22,594.01001,615.0,617.54272,591.34003,6923932
2021-04-23,610.60999,597.375,613.39502,596.01001,5670044
2021-04-26,619.12,607.40198,619.15997,605.0,4930178
2021-04-27,615.27002,623.14001,626.82001,614.17999,4098850
2021-04-28,611.07001,614.58002,621.28998,608.62073,5222098
2021-04-29,612.98999,616.0,617.46002,602.85999,4299006
2021-04-30,600.38,606.97998,614.59991,599.88,5025788
2021-05-03,593.46997,605.0,609.87,591.5,5088163
2021-05-04,574.04999,585.48999,585.5,560.4101,10107920
2021-05-05,578.34003,588.35999,592.53998,575.5,7300175
2021-05-06,580.91998,579.81,582.84998,568.72357,4818542
2021-05-07,592.48999,592.33002,598.83002,586.86829,5706511
2021-05-10,570.63,591.48999,592.23999,570.0,6697351
2021-05-11,572.25,553.0,574.19,550.0,7115913
2021-05-12,550.34003,560.38,570.40997,548.37,7558739
2021-05-13,546.60999,561.34998,563.22998,538.35999,7108813
2021-05-14,569.71997,555.59998,573.12421,549.94,6457035
2021-05-17,566.62,566.28003,566.77002,554.14001,5407584
2021-05-18,560.63,570.67999,576.16998,560.15997,4640588
2021-05-19,562.63,542.65997,563.17999,541.72998,8588095
2021-05-20,584.5,572.09998,587.35138,570.82001,8023955
2021-05-21,599.66998,606.54999,608.88,594.77557,16811888
2021-05-24,624.47998,608.5,629.79999,607.03998,13831831
2021-05-25,625.90997,630.64001,632.73993,619.29999,10873045
2021-05-26,628.0,629.37,631.75,623.45001,9252006
2021-05-27,619.52002,627.98999,630.0,618.40002,14507489
2021-05-28,649.78003,620.03998,651.099,620.03998,16156186
2021-06-01,650.58002,650.79999,655.52502,636.13,11794499
2021-06-02,671.13,650.09003,676.7547,649.41998,14828474
2021-06-03,678.78998,668.03003,690.35999,663.32001,14480939
2021-06-04,703.13,684.5,706.44,683.82001,15409181
2021-06-07,704.76001,702.84601,712.5,687.71002,14377567
2021-06-08,698.28003,701.09003,704.86353,690.03998,8084016
2021-06-09,694.33002,700.63,703.0,690.22998,9521846
2021-06-10,697.0,694.0,699.67999,687.0401,7180969
2021-06-11,713.01001,699.17999,717.56897,697.75,10393362
2021-06-14,720.75,716.23999,721.58002,706.51007,8008077
2021-06-15,711.53998,716.59998,720.65002,709.11798,6064993
2021-06-16,712.40997,711.63,718.18707,703.37701,7643206
2021-06-17,746.28998,710.98273,753.40002,710.25012,20213513
2021-06-18,745.54999,751.35999,775.0,743.35999,24175111
2021-06-21,737.09003,737.40997,741.46002,712.90601,16782644
2021-06-22,755.46997,738.85999,758.54999,735.435,14429804
2021-06-23,762.28998,760.31,766.10999,756.31,8262930
2021-06-24,768.21997,769.10999,776.79999,763.53003,8015314
2021-06-25,761.23999,771.21997,773.82001,755.77502,6948622
2021-06-28,799.40002,774.45001,803.15002,772.76001,12352928
2021-06-29,801.07001,795.29999,803.95001,786.27502,9171342
2021-06-30,800.09998,799.96503,806.5,794.54999,8148860
2021-07-01,808.47998,805.0,818.23999,800.76001,11992024
2021-07-02,819.47998,817.60498,820.21002,811.51001,8553848
2021-07-06,827.94,829.5,833.67999,814.01001,11149615
2021-07-07,814.87,834.14001,835.0,813.28198,10429913
2021-07-08,796.10999,794.26001,805.32001,788.03003,12552378
2021-07-09,802.01001,798.5,803.20502,790.16998,7395964
2021-07-12,820.5,809.59998,821.31,807.51001,8035769
2021-07-13,810.0,816.02002,818.45001,804.56012,7245075
2021-07-14,793.65997,814.31,816.71002,790.10999,9478243
2021-07-15,758.65002,792.46997,793.88,754.34009,13687681
2021-07-16,726.44,761.21997,766.28442,722.91998,17162188
2021-07-19,751.19,716.60999,761.67999,714.62,18654772
2021-07-20,186.12,187.3,188.38,181.64,43382991
2021-07-21,194.10001,188.82001,195.27,187.42,36972725
2021-07-22,195.94,196.42,198.87,192.75999,32325615
2021-07-23,195.58,196.564,197.0,192.5,19532735
2021-07-26,192.94,193.11,194.42,189.14,20361796
2021-07-27,192.08,192.64999,196.22,187.41,24821438
2021-07-28,195.03,193.192,196.46001,189.95,20152673
2021-07-29,196.62,195.19,198.53,193.2803,19008329
2021-07-30,194.99001,194.17999,196.3,192.63,18293493
2021-08-02,197.5,197.0,199.61,193.61,21713299
2021-08-03,198.14999,197.39999,202.22,192.2,30130784
2021-08-04,202.74001,199.89999,203.17999,198.28,23102567
2021-08-05,206.37,205.0,207.33,203.42,21088903
2021-08-06,203.66,205.24001,205.7,202.10001,17802366
2021-08-09,202.95,204.46001,205.0799,201.42999,14618799
2021-08-10,199.36,203.22,204.3,198.3454,17904500
2021-08-11,196.99001,200.42999,200.49001,194.3,18587749
2021-08-12,199.05,198.7,200.2899,196.2,15165851
2021-08-13,201.88,199.05,202.13811,198.50999,18283608
2021-08-16,199.5,201.35001,202.87,194.53,21080379
2021-08-17,194.58,196.85001,197.7,192.67,20411979
2021-08-18,190.39999,195.0,196.3365,190.0,28511789
2021-08-19,197.98,194.94,204.95,187.62,76371518
2021-08-20,208.16,199.91,208.6506,199.33,67437436
2021-08-23,219.58,209.71001,219.97,209.5,57435167
2021-08-24,217.92999,217.53,219.59,215.35001,29689067
2021-08-25,222.13,217.37,224.7,217.22,34722086
2021-08-26,220.67999,222.0,223.39999,217.89999,23738281
2021-08-27,226.36,221.84,227.22,221.67,30390339
2021-08-30,226.88,228.3,230.42999,225.50999,26228679
2021-08-31,223.85001,226.95,226.95,221.2,25918955
2021-09-01,224.41,224.85001,226.97,223.565,20150187
2021-09-02,223.96001,225.17999,225.9299,222.94501,18781183
2021-09-03,228.42999,223.25,229.86,222.0,28049936
2021-09-07,226.62,228.33,228.99001,225.224,19791081
2021-09-08,223.39,225.13,226.10001,219.77,25415511
2021-09-09,221.77,223.12,225.38,221.31,19655327
2021-09-10,224.78,223.483,226.25999,222.7,24797300
2021-09-13,221.52,226.84,229.64,218.58,29689529
2021-09-14,222.42,222.75,224.10001,220.86,19949997
2021-09-15,223.41,223.09,223.66991,219.66,16653908
2021-09-16,222.42,221.83501,222.77,219.27,15584133
2021-09-17,219.0,223.0,223.21001,218.3,29421917
2021-09-20,211.13,211.46001,214.33,206.62,34900742
2021-09-21,212.46001,214.16499,214.25,209.5,20417804
2021-09-22,219.41,213.655,219.60001,211.96001,26837471
2021-09-23,224.82001,221.39999,225.345,218.89999,24785828
2021-09-24,220.81,220.7,221.49001,218.61,21743067
2021-09-27,216.60001,217.104,217.99001,213.25,24476231
2021-09-28,206.99001,212.13499,214.19,206.50999,34267878
2021-09-29,205.17,209.395,210.17,204.67,21803952
2021-09-30,207.16,207.68401,210.66,206.88,22082148
2021-10-01,207.42,207.5,208.59,202.03,24069765
2021-10-04,197.32001,205.03999,205.41789,195.55,34501814
2021-10-05,204.50999,199.5,206.48,198.53999,27908150
2021-10-06,207.0,201.2,207.2,200.8,29674801
2021-10-07,210.75,210.92,213.22,209.72,25656320
2021-10-08,208.31,211.00999,212.06,207.75,15111927
2021-10-11,206.95,205.75,210.63,205.11,16328826
2021-10-12,206.71001,208.27499,210.57001,205.28,16198269
2021-10-13,209.39,209.17999,209.89999,207.13,17997974
2021-10-14,217.46001,212.88,217.55,211.22009,24326778
2021-10-15,218.62,218.10001,219.31,216.62,22648149
2021-10-18,222.22,217.49001,222.91,216.44,18925021
2021-10-19,222.89999,222.75999,223.78999,220.37,16133348
2021-10-20,221.03,223.045,224.33,219.82001,14609411
2021-10-21,226.92,220.97,227.11,220.83,18729633
