date,CLOSE,OPEN,HIGH,LOW,VOLUME
2022-06-29,139.23,137.46001,140.67,136.67,66190755
2022-06-30,136.72,137.25,138.37,133.7737,98896516
2022-07-01,138.92999,136.03999,139.03999,135.66,70988509
2022-07-05,141.56,137.77,141.61,136.92999,73373342
2022-07-06,142.92,141.355,144.12,141.08,73997245
2022-07-07,146.35001,143.28999,146.55,143.28,66153835
2022-07-08,147.03999,145.265,147.55,145.0,64494905
2022-07-11,144.87,145.67,146.64,143.78,63275136
2022-07-12,145.86,145.75999,148.45,145.05,77523291
2022-07-13,145.49001,142.99001,146.45,142.1201,71446967
2022-07-14,148.47,144.08,148.95,143.25,78082334
2022-07-15,150.17,149.78,150.86,148.2,76365566
2022-07-18,147.07001,150.74001,151.57001,146.7,81355567
2022-07-19,151.0,147.92,151.23,146.91,82864594
2022-07-20,153.03999,151.12,153.72,150.37,64750969
2022-07-21,155.35001,154.5,155.57001,151.94,65031842
2022-07-22,154.09,155.39,156.28,153.41,67019143
2022-07-25,152.95,154.00999,155.03999,152.28,53573505
2022-07-26,151.60001,152.265,153.08501,150.8,55072932
2022-07-27,156.78999,152.58,157.33,152.16,78570897
2022-07-28,157.35001,156.98,157.64,154.41,81315003
2022-07-29,162.50999,161.24001,163.63,159.5,101715994
2022-08-01,161.50999,161.00999,163.59,160.89,67732635
2022-08-02,160.00999,160.10001,162.41,159.63,59883537
2022-08-03,166.13,160.84,166.59,160.75,82430811
2022-08-04,165.81,166.005,167.19,164.42999,55426801
2022-08-05,165.35001,163.21001,165.85001,163.0,56640148
2022-08-08,164.87,166.37,167.81,164.2,60300410
2022-08-09,164.92,164.02,165.82001,163.25,63039865
2022-08-10,169.24001,167.67999,169.34,166.89999,70124555
2022-08-11,168.49001,170.06,170.99001,168.19,57101706
2022-08-12,172.10001,169.82001,172.17,169.39999,67977348
2022-08-15,173.19,171.52,173.39,171.345,54009353
2022-08-16,173.03,172.78,173.71001,171.6618,56307103
2022-08-17,174.55,172.77,176.14999,172.57001,79455081
2022-08-18,174.14999,173.75,174.89999,173.12,62216417
2022-08-19,171.52,173.03,173.74001,171.3101,70284760
2022-08-22,167.57001,169.69,169.86,167.13499,68797475
2022-08-23,167.23,167.08,168.71001,166.64999,54061645
2022-08-24,167.53,167.32001,168.11,166.245,53883534
2022-08-25,170.03,168.78,170.14,168.35001,51150968
2022-08-26,163.62,170.57001,171.05,163.56,78872734
2022-08-29,161.38,161.145,162.89999,159.82001,73195139
2022-08-30,158.91,162.13,162.56,157.72,77860844
2022-08-31,157.22,160.30499,160.58,157.14,87878997
2022-09-01,157.96001,156.64,158.42,154.67,74168332
2022-09-02,155.81,159.75,160.362,154.965,76958353
2022-09-06,154.53,156.47,157.09,153.69,73799755
2022-09-07,155.96001,154.825,156.67,153.61,87352275
2022-09-08,154.46001,154.64,156.36,152.67999,84848719
2022-09-09,157.37,155.47,157.82001,154.75,67969274
2022-09-12,163.42999,159.59,164.25999,159.3,104720500
2022-09-13,153.84,159.89999,160.53999,153.37,122512176
2022-09-14,155.31,154.785,157.10001,153.6106,87787402
2022-09-15,152.37,154.64999,155.24001,151.38,90366955
2022-09-16,150.7,151.21001,151.35001,148.37,164706609
2022-09-19,154.48,149.31,154.56,149.10001,81395534
2022-09-20,156.89999,153.39999,158.08,153.08,107551265
2022-09-21,153.72,157.34,158.74001,153.60001,101576308
2022-09-22,152.74001,152.38,154.47,150.91,86586249
2022-09-23,150.42999,151.19,151.47,148.56,95956701
2022-09-26,150.77,149.66,153.7701,149.64,93261935
2022-09-27,151.75999,152.74001,154.72,149.94501,84356507
2022-09-28,149.84,147.64,150.6414,144.84,146728308
2022-09-29,142.48,146.10001,146.72,140.67999,127950013
2022-09-30,138.2,141.28,143.10001,138.0,124767407
2022-10-03,142.45,138.21001,143.07001,137.685,114191028
2022-10-04,146.10001,145.03,146.22,144.25999,88171071
2022-10-05,146.39999,144.075,147.38,143.00999,79321553
2022-10-06,145.42999,145.81,147.53999,145.22,68341999
2022-10-07,140.09,142.53999,143.10001,139.44501,85849308
2022-10-10,140.42,140.42,141.89,138.57291,74802863
2022-10-11,138.98,139.89999,141.35001,138.22,76919340
2022-10-12,138.34,139.13,140.36,138.16,70405476
2022-10-13,142.99001,134.99001,143.59,134.37,113057116
2022-10-14,138.38,144.31,144.52,138.19,88550087
2022-10-17,142.41,141.065,142.89999,140.27,85143358
2022-10-18,143.75,145.49001,146.7,140.61,98997042
2022-10-19,143.86,141.69,144.9492,141.5,61736177
2022-10-20,143.39,143.02,145.89,142.64999,64461110
2022-10-21,147.27,142.87,147.8479,142.649,86480961
2022-10-24,149.45,147.185,150.23,146.0,75897030
2022-10-25,152.34,150.09,152.49001,149.36,74647574
2022-10-26,149.35001,150.96001,151.99001,148.03999,88303418
2022-10-27,144.8,148.07001,149.04601,144.13,109030747
2022-10-28,155.74001,148.2,157.5,147.82001,164521288
2022-10-31,153.34,153.155,154.24001,151.92,97794140
2022-11-01,150.64999,155.08,155.45,149.13,80208002
2022-11-02,145.03,148.94501,152.17,145.0,93480964
2022-11-03,138.88,142.06,142.8,138.75,97831706
2022-11-04,138.38,142.09,142.67,134.38,140641204
2022-11-07,138.92,137.11,139.145,135.67101,83263048
2022-11-08,139.5,140.41,141.42999,137.49001,90346407
2022-11-09,134.87,138.5,138.55,134.59331,74872441
2022-11-10,146.87,141.24001,146.87,139.5,118829416
2022-11-11,149.7,145.82001,150.00999,144.37,93811745
2022-11-14,148.28,148.97,150.28,147.42999,73289619
2022-11-15,150.03999,152.215,153.59,148.56129,89743294
2022-11-16,148.78999,149.13,149.87,147.28999,64171162
2022-11-17,150.72,146.42999,151.48,146.14999,80353102
2022-11-18,151.28999,152.30499,152.7,149.97,74784244
2022-11-21,148.00999,150.16,150.37,147.715,58666564
2022-11-22,150.17999,148.13,150.42,146.925,51758958
2022-11-23,151.07001,149.45,151.83,149.34,58266962
2022-11-25,148.11,148.30499,148.88,147.12,35164869
2022-11-28,144.22,145.14,146.64,143.38,69323099
2022-11-29,141.17,144.28999,144.81,140.355,83619373
2022-11-30,148.03,141.395,148.72,140.55,111652809
2022-12-01,148.31,148.21001,149.13,146.61,71177750
2022-12-02,147.81,145.96001,148.0,145.64999,65462680
2022-12-05,146.63,147.77,150.91991,145.77,68761776
2022-12-06,142.91,147.075,147.3,141.92,64594488
2022-12-07,140.94,142.19,143.37,140.0,69605189
2022-12-08,142.64999,142.36,143.52,141.10001,62079882
2022-12-09,142.16,142.34,145.57001,140.89999,76013252
2022-12-12,144.49001,142.7,144.5,141.06,70318843
2022-12-13,145.47,149.5,149.96919,144.24001,93793305
2022-12-14,143.21001,145.35001,146.655,141.16,82411409
2022-12-15,136.5,141.11,141.8,136.02499,98851514
2022-12-16,134.50999,136.685,137.64999,133.73,160031047
2022-12-19,132.37,135.11,135.2,131.32001,79511831
2022-12-20,132.3,131.39,133.25,129.89,77621422
2022-12-21,135.45,132.98,136.81,132.75,85867332
2022-12-22,132.23,134.35201,134.56,130.3,77913653
2022-12-23,131.86,130.92,132.41499,129.64,63774202
2022-12-27,130.03,131.38,131.41,128.72,68945851
2022-12-28,126.04,129.67,131.0275,125.87,85375557
2022-12-29,129.61,127.99,130.4814,127.73,75528589
2022-12-30,129.92999,128.41,129.95,127.43,76988230
2023-01-03,125.07,130.28,130.89999,124.17,111953221
2023-01-04,126.36,126.89,128.6557,125.08,89022192
2023-01-05,125.02,127.13,127.77,124.76,81128113
2023-01-06,129.62,126.01,130.28999,124.89,87654520
2023-01-09,130.14999,130.465,133.41,129.89,70700396
2023-01-10,130.73,130.25999,131.2636,128.12,63845570
2023-01-11,133.49001,131.25,133.50999,130.46001,69388116
2023-01-12,133.41,133.88,134.25999,131.44,71324264
2023-01-13,134.75999,132.03,134.92,131.66,57763869
2023-01-17,135.94,134.83,137.28999,134.13,63532797
2023-01-18,135.21001,136.815,138.61,135.03,69619034
2023-01-19,135.27,134.08,136.25,133.77,58233405
2023-01-20,137.87,135.28,138.02,134.22,80146196
2023-01-23,141.11,138.12,143.315,137.89999,81645640
2023-01-24,142.53,140.30499,143.16,140.3,66392587
2023-01-25,141.86,140.89,142.42999,138.81,65749083
2023-01-26,143.96001,143.17,144.25,141.89999,54016754
2023-01-27,145.92999,143.155,147.23,143.08,70442814
2023-01-30,143.0,144.955,145.55,142.85001,63959443
2023-01-31,144.28999,142.7,144.34,142.28,65809893
2023-02-01,145.42999,143.97,146.61,141.32001,77597193
2023-02-02,150.82001,148.89999,151.17999,148.17,118121857
2023-02-03,154.5,148.03,157.38,147.83,154029054
2023-02-06,151.73,152.575,153.10001,150.78,69844537
2023-02-07,154.64999,150.64,155.23,150.64,83252504
2023-02-08,151.92,153.88,154.58,151.168,64101046
2023-02-09,150.87,153.77499,154.33,150.42,55951289
2023-02-10,151.00999,149.46001,151.3401,149.22,57512746
2023-02-13,153.85001,150.952,154.25999,150.92,62097179
2023-02-14,153.2,152.12,153.77,150.86,61665183
2023-02-15,155.33,153.11,155.5,152.88,65611726
2023-02-16,153.71001,153.50999,156.33,153.3475,68101396
2023-02-17,152.55,152.35001,153.0,150.85001,59122868
2023-02-21,148.48,150.2,151.3,148.405,64658637
2023-02-22,148.91,148.87,149.95,147.16,51062107
2023-02-23,149.39999,150.09,150.34,147.24001,48313958
2023-02-24,146.71001,147.11,147.19,145.7202,55422000
2023-02-27,147.92,147.71001,149.17,147.45,44971573
2023-02-28,147.41,147.05,149.08,146.83,50500071
2023-03-01,145.31,146.83,147.2285,145.00999,55362416
2023-03-02,145.91,144.38,146.71001,143.89999,52203184
2023-03-03,151.03,148.045,151.11,147.33,70657336
2023-03-06,153.83,153.785,156.3,153.46001,87408056
2023-03-07,151.60001,153.7,154.02991,151.13,56106595
2023-03-08,152.87,152.81,153.47,151.83,47130186
2023-03-09,150.59,153.55901,154.535,150.22501,53784564
2023-03-10,148.5,150.21001,150.94,147.6096,68503603
